Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Abbotsford,0.091172408,0.836114845,0.178571429,0.019607843,0.105263158
Airport West,0.084265407,0.635082552,0.285714286,0,0.052631579
Albert Park,0.171382737,0.932058545,0.142857143,0.117647059,0.105263158
Alphington - Fairfield,0.049763825,0.8040834,0.178571429,0.019607843,0.210526316
Altona,0.028274141,0.675733881,0.107142857,0.078431373,0.210526316
Altona Meadows,0.213448599,0.616237976,0.285714286,0,0.157894737
Altona North,0.05199189,0.604020098,0.214285714,0.019607843,0.157894737
Ardeer,0.087295575,0.51688334,0.035714286,0,0.105263158
Armadale,0.099950983,0.868193042,0.214285714,0.019607843,0.157894737
Ascot Vale,0.041085513,0.787853205,0.321428571,0.039215686,0.210526316
Ashburton,0.086348648,0.923559237,0.178571429,0.019607843,0.157894737
Ashwood - Chadstone,0.20384564,0.72196442,0.25,0,0.315789474
Aspendale Gardens - Waterways,0.100140368,0.831175359,0.428571429,0,0.210526316
Bacchus Marsh,0.226649882,0.641556794,0.178571429,0.156862745,0.315789474
Balwyn,0.088186801,0.828569165,0.107142857,0.058823529,0.210526316
Balwyn North,0.225301903,0.873686772,0.321428571,0.058823529,0.368421053
Bayswater,0.134552827,0.589705198,0.285714286,0.039215686,0.263157895
Bayswater North,0.131155029,0.656905626,0.25,0,0.052631579
Beaconsfield - Officer,0.145069293,0.764892546,0.178571429,0.058823529,0.421052632
Beaumaris,0.150082438,0.92785709,0.392857143,0.019607843,0.210526316
Brunswick,0.010126554,0.748309632,0.178571429,0.039215686,0.105263158
Brunswick East,0.122120226,0.750868486,0.107142857,0,0.157894737
Brunswick West,0.153034624,0.668852739,0.142857143,0,0.210526316
Bulleen,0.123044873,0.723507768,0.285714286,0.019607843,0.157894737
Bundoora,0.087406978,0.627419322,0.392857143,0.098039216,0.368421053
Bunyip - Garfield,0.096230115,0.668903155,0.035714286,0.019607843,0.157894737
Burnside,0.052927677,0.636649042,0.035714286,0,0
Burnside Heights,0.067644044,0.748271366,0.25,0,0.052631579
Burwood,0.068223341,0.631511952,0.321428571,0,0.210526316
Burwood East,0.114444543,0.658710867,0.214285714,0,0.263157895
Cairnlea,0.107582104,0.729598239,0.321428571,0,0.052631579
Camberwell,0.119201462,0.938745464,0.392857143,0.039215686,0.157894737
