,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
0,Mornington,Legal Services,Mornington Legal,-38.22718,145.04353999999998,"342 Main St, Mornington VIC 3931",(03) 5975 7611
1,Mornington,Solicitor,Alesci Lawyers,-38.217909999999996,145.03696000000002,"1 Queen St, Mornington VIC 3931",(03) 5977 1000
2,Mornington,Legal Services,Lawyers By The Bay,-38.21765,145.038025,"11 Railway Grove, Mornington VIC 3931",(03) 8680 2549
3,Mornington,Solicitor,Marshalls+Dent Lawyers Mornington,-38.21921,145.03887,"Level 1, Suite 2/26 McLaren Place, Mornington VIC 3931",(03) 5973 6919
4,Mornington,Solicitor,Walls Bridges Lawyers,-38.22013,145.03838000000002,"49 Octavia St, Mornington VIC 3931",(03) 5977 0680
5,Mornington,General practice attorney,Carroll Goldsmith Lawyers,-38.21632,145.03603999999999,"1/176 Main St, Mornington VIC 3931",(03) 5975 7588
6,Mornington,Law firm,Stidston Warren Lawyers,-38.22095,145.04057,"suite 1 level 1/10 Blamey Pl, Mornington VIC 3931",(03) 5975 5222
7,Mornington,Solicitor,"Roberts Beckwith Partners,Beckwith C",-38.221579999999996,145.04057,"16 Blamey Pl, Mornington VIC 3931",(03) 5975 4133
8,Mornington,Solicitor,Urban Law Group,-38.229058,145.044649,"7/234 Main St, Mornington VIC 3931",(03) 5975 2000
9,Mornington,Law firm,PHAEDONOS LAW,-38.218441999999996,145.037834,"307 Main St, Mornington VIC 3931",(03) 5976 1688
10,Mornington,Family law attorney,Anchorage legal,-38.225958,145.042777,"Ground Floor 2/328 Main St, Mornington VIC 3931",(03) 9070 1199
13,Mornington,Legal Services,Peninsula Injury Lawyers,-38.226453,145.042614,"level 2/315 Main St, Mornington VIC 3931",(03) 5924 1007
14,Mornington,Solicitor,Hill Legal,-38.233838,145.06233400000002,"22a Milgate Dr, Mornington VIC 3931",(03) 5976 6500
16,Mornington,Solicitor,JG Nixon PTY Ltd.,-38.213275,145.05123700000001,"1 Rothesay Ave, Mornington VIC 3931",(03) 5975 3130
17,Mornington,Legal Services,Roberts Beckwith Partners,-38.221171999999996,145.0405,"2/16 Blamey Pl, Mornington VIC 3931",(03) 5975 4133
21,Pakenham,Law firm,Duffy & Simon,-38.074417,145.48478400000002,"13 John St, Pakenham VIC 3810",(03) 5941 1622
22,Pakenham,Personal injury attorney,Ryan Carlisle Thomas Lawyers,-38.071717,145.47518,"114 Main St, Pakenham VIC 3810",(03) 5941 5722
24,Pakenham,Legal Services,My Legal Crunch - Lawyers,-38.069808,145.465236,"5 McMaster Ct, Pakenham VIC 3810",1800 572 417
25,Pakenham,Family law attorney,Pakenham Lawyers,-38.072977,145.47713000000002,"18 Main Street,18 Main Street, Pakenham Vic 3810",1800 754 401
26,Pakenham,Legal Services,Casey Business Lawyers Pty Ltd,-38.061186,145.463413,"Unit 6/ 1/5 Purton Rd, Pakenham VIC 3810",0435 876 445
27,Pakenham,Legal Services,Pakenham Conveyancing,-38.074417,145.484787,"25 John St, Pakenham VIC 3810",(03) 5940 2208
30,Pakenham,Legal Services,Francis Alan Rutherford Barrister & Solicitor,-38.075107,145.49199199999998,"55 Simon Dr, Pakenham VIC 3810",0418 569 566
