,Education_Sector,School_Name,School_Type,Address_Line,Address_Town,Address_State,Address_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
4,Government,Warrandyte Primary School,Primary,5-11 Forbes Street,Research - North Warrandyte,VIC,3113,03 9844 3537,421.0,Manningham (C),145.21398,-37.74268
6,Government,Bacchus Marsh Primary School,Primary,56-62 Lerderderg Street,Bacchus Marsh,VIC,3340,03 5367 2745,515.0,Moorabool (S),144.44312,-37.67303
9,Government,Berwick Primary School,Primary,37 Fairholme Boulevard,Berwick,VIC,3806,03 9707 1026,161.0,Casey (C),145.35374,-38.04418
13,Government,Newport Lakes Primary School,Primary,Elizabeth Street,Newport,VIC,3015,03 9391 8942,311.0,Hobsons Bay (C),144.87833999999998,-37.83842
20,Government,St Andrews Primary School,Primary,Caledonia Street,Panton Hill - St Andrews,VIC,3761,03 9710 1255,571.0,Nillumbik (S),145.26983,-37.60232
22,Government,Dromana Primary School,Primary,Mcculloch Street,Dromana,VIC,3936,03 5987 2367,534.0,Mornington Peninsula (S),144.95965,-38.33964
23,Government,Doncaster Primary School,Primary,2 - 12 Council Street,Doncaster,VIC,3108,03 9848 1122,421.0,Manningham (C),145.12967,-37.7868
25,Government,Eltham Primary School,Primary,Dalton Street,Eltham,VIC,3095,03 9439 9374,571.0,Nillumbik (S),145.1478,-37.72498
28,Government,Hallam Primary School,Primary,24 Harmer Road,Hallam,VIC,3803,03 9703 1536,161.0,Casey (C),145.25849,-38.00158
29,Government,Flemington Primary School,Primary,Mt Alexander Road,Flemington,VIC,3031,03 9376 7137,506.0,Moonee Valley (C),144.9336,-37.78139
30,Government,Footscray Primary School,Primary,Cnr Geelong Road & Barkly St,Footscray,VIC,3011,03 9687 1910,433.0,Maribyrnong (C),144.89266999999998,-37.79838
31,Government,Gisborne Primary School,Primary,35 Fisher Street,Gisborne,VIC,3437,03 5428 2022,413.0,Macedon Ranges (S),144.58844,-37.49086
33,Government,Sandringham Primary School,Primary,31 Bamfield Street,Sandringham - Black Rock,VIC,3191,03 9598 1488,91.0,Bayside (C),145.00931,-37.94763
36,Government,Hawthorn West Primary School,Primary,Cnr Wood Street & Burwood Road,Hawthorn,VIC,3122,03 9818 2233,111.0,Boroondara (C),145.01838,-37.82011
37,Government,Heidelberg Primary School,Primary,Cape Street,Heidelberg - Rosanna,VIC,3084,03 9457 2259,66.0,Banyule (C),145.0678,-37.7547
