suburbs,Middle_Eastern,Lebanese,Turkish,Number of Hairdressing Businesses
Abbotsford,0,1,0,0
Airport West,1,1,5,15
Albert Park,1,0,6,2
Alphington - Fairfield,2,0,0,11
Altona,5,0,1,13
Altona Meadows,1,0,1,4
Altona North,3,0,5,18
Ardeer,0,0,0,2
Armadale,0,0,0,12
Ascot Vale,4,0,5,2
Ashburton,0,0,0,5
Ashwood - Chadstone,0,0,0,11
Aspendale Gardens - Waterways,0,0,0,5
Bacchus Marsh,0,0,0,11
Balwyn,2,0,5,6
Balwyn North,1,0,1,11
Bayswater,0,0,0,7
Bayswater North,0,0,2,2
Beaconsfield - Officer,0,0,0,2
Beaumaris,0,1,0,1
Brunswick,28,13,5,13
Brunswick East,0,0,10,9
Brunswick West,0,0,7,4
Bulleen,1,0,1,2
Bundoora,3,0,2,12
Bunyip - Garfield,0,0,0,7
Burnside,0,0,0,2
Burnside Heights,0,0,0,0
Burwood,2,0,3,2
Burwood East,0,0,8,5
Cairnlea,0,0,0,7
Camberwell,2,0,1,10
Campbellfield - Coolaroo,10,0,4,21
Carlton North - Princes Hill,2,1,6,13
Carnegie,1,1,0,4
Caroline Springs,0,0,0,13
Carrum - Patterson Lakes,2,0,1,12
Carrum Downs,0,0,0,8
Caulfield,6,2,0,10
Chelsea - Bonbeach,0,0,1,16
Chelsea Heights,0,0,0,1
Cheltenham - Highett,3,0,0,0
Chirnside Park,0,0,0,7
Clarinda,0,0,0,1
Clayton,2,0,2,6
Clayton South,0,0,0,6
Coburg,23,5,5,7
Coburg North,0,0,0,1
Collingwood,5,1,0,6
Craigieburn,2,0,1,8
Cranbourne,1,0,1,2
Croydon Hills - Warranwood,0,0,0,7
Croydon South,0,0,0,3
Dandenong,15,4,4,28
Deer Park - Derrimut,1,0,1,19
Delahey,0,0,0,3
Dingley Village,0,0,0,3
Docklands,11,2,5,2
Doncaster,2,0,2,10
Doncaster East,2,0,2,14
Donvale - Park Orchards,0,0,0,4
Doreen,2,0,1,2
Doveton,0,0,0,0
Dromana,1,0,0,4
East Melbourne,0,0,0,1
Edithvale - Aspendale,0,0,0,8
Elsternwick,8,1,3,6
Eltham,2,1,1,8
Elwood,1,0,1,5
Emerald - Cockatoo,0,0,0,7
Endeavour Hills,4,0,2,4
Epping,6,0,1,10
Essendon - Aberfeldie,6,1,3,50
Essendon Airport,0,0,0,2
Fawkner,4,2,1,2
Ferntree Gully,1,0,0,19
Fitzroy,13,2,4,18
Fitzroy North,6,1,1,10
Flemington,2,0,1,5
Flemington Racecourse,0,0,0,1
Flinders,0,0,1,0
Footscray,6,0,0,16
Forest Hill,2,0,1,7
