,stop_name,stop_lat,stop_lon,route_type,route_short_name,suburb
0,Rex St/Taylors Rd (Kings Park),-37.72697521,144.7761524,3,418,Kings Park
1,Yuille St/Centenary Ave (Melton),-37.6761595,144.5957894,3,458,Melton
2,Yuille St/Centenary Ave (Melton),-37.6761595,144.5957894,3,943,Melton
3,Gum Rd/Main Rd West (Albanvale),-37.74149711,144.7758994,3,424,Kings Park
4,Dole Ave/Cheddar Rd (Reservoir),-37.70077481,145.0189511,3,556,Reservoir
5,Kings Rd/Main Rd West (St Albans),-37.74194553,144.7800847,3,424,St Albans
6,Kings Rd/Main Rd West (St Albans),-37.74194553,144.7800847,3,942,St Albans
7,Moffat St/Main Rd West (St Albans),-37.7423246,144.7834665,3,424,St Albans
8,Washington St/Main Rd West (St Albans),-37.74279566,144.7879123,3,424,St Albans
9,Kate St/Main Rd West (St Albans),-37.74356938,144.7945734,3,424,St Albans
10,Kate St/Main Rd West (St Albans),-37.74356938,144.7945734,3,425,St Albans
11,Raleighs Rd/Centenary Ave (Melton),-37.67530436,144.5887764,3,458,Melton
12,Melton Cemetery/O'Neills Rd (Melton),-37.67498051,144.5782544,3,457,Melton
13,Emil Park/O'Neills Rd (Melton),-37.67875895,144.577508,3,457,Melton
14,Reservoir Shopping Centre/Broadway (Reservoir),-37.71712122,145.0097803,3,556,Reservoir
15,Reservoir Shopping Centre/Broadway (Reservoir),-37.71712122,145.0097803,3,561,Reservoir
16,Reservoir Shopping Centre/Broadway (Reservoir),-37.71712122,145.0097803,3,552,Reservoir
17,Reservoir Shopping Centre/Broadway (Reservoir),-37.71712122,145.0097803,3,555,Reservoir
18,Northumberland Rd/Pascoe St (Pascoe Vale),-37.7162865,144.9340441,3,513,Pascoe Vale
19,Lloyd Ave/Cheddar Rd (Reservoir),-37.69918301,145.0196853,3,556,Reservoir
20,Westbreen Primary School/Pascoe St (Pascoe Vale),-37.71655281,144.936385,3,513,Pascoe Vale
21,Joffre Rd/Boundary Rd (Pascoe Vale),-37.71691492,144.9400846,3,513,Pascoe Vale
22,Joffre Rd/Boundary Rd (Pascoe Vale),-37.71691492,144.9400846,3,951,Pascoe Vale
23,Kent Rd/Cumberland Rd (Pascoe Vale),-37.72071084,144.940195,3,513,Pascoe Vale
24,Warwick Rd/Cumberland Rd (Pascoe Vale),-37.72220292,144.9399722,3,513,Pascoe Vale
25,Daley St/Cumberland Rd (Pascoe Vale),-37.72501492,144.9394745,3,513,Pascoe Vale
26,Pleasant St/Cumberland Rd (Pascoe Vale),-37.72711752,144.9391212,3,513,Pascoe Vale
27,Olive Gr/Cumberland Rd (Pascoe Vale),-37.72922911,144.9387676,3,513,Pascoe Vale
28,Gaffney St/Cumberland Rd (Pascoe Vale),-37.73216543,144.9381643,3,513,Pascoe Vale
29,Pardy St/Cumberland Rd (Pascoe Vale),-37.73392851,144.9379792,3,513,Pascoe Vale
