suburb,ME,TK,LB
Abbotsford,0,0,1
Airport West,1,5,1
Albert Park,1,6,0
Alphington - Fairfield,2,0,0
Altona,5,1,0
Altona Meadows,1,1,0
Altona North,3,5,0
Ardeer,0,0,0
Armadale,0,0,0
Ascot Vale,4,5,0
Ashburton,0,0,0
Ashwood - Chadstone,0,0,0
Aspendale Gardens - Waterways,0,0,0
Bacchus Marsh,0,0,0
Balwyn,2,5,0
Balwyn North,1,1,0
Bayswater,0,0,0
Bayswater North,0,2,0
Beaconsfield - Officer,0,0,0
Beaumaris,0,0,1
Brunswick,28,5,13
Brunswick East,0,10,0
Brunswick West,0,7,0
Bulleen,1,1,0
Bundoora,3,2,0
Bunyip - Garfield,0,0,0
Burnside,0,0,0
Burnside Heights,0,0,0
Burwood,2,3,0
Burwood East,0,8,0
Cairnlea,0,0,0
Camberwell,2,1,0
Campbellfield - Coolaroo,10,4,0
Carlton North - Princes Hill,2,6,1
Carnegie,1,0,1
Caroline Springs,0,0,0
Carrum - Patterson Lakes,2,1,0
Carrum Downs,0,0,0
Caulfield,6,0,2
Chelsea - Bonbeach,0,1,0
Chelsea Heights,0,0,0
Cheltenham - Highett,3,0,0
Chirnside Park,0,0,0
Clarinda,0,0,0
Clayton,2,2,0
Clayton South,0,0,0
Coburg,23,5,5
Coburg North,0,0,0
Collingwood,5,0,1
Craigieburn,2,1,0
Cranbourne,1,1,0
Croydon Hills - Warranwood,0,0,0
Croydon South,0,0,0
Dandenong,15,4,4
Deer Park - Derrimut,1,1,0
Delahey,0,0,0
Dingley Village,0,0,0
Docklands,11,5,2
Doncaster,2,2,0
Doncaster East,2,2,0
Donvale - Park Orchards,0,0,0
Doreen,2,1,0
Doveton,0,0,0
Dromana,1,0,0
East Melbourne,0,0,0
Edithvale - Aspendale,0,0,0
Elsternwick,8,3,1
Eltham,2,1,1
Elwood,1,1,0
Emerald - Cockatoo,0,0,0
Endeavour Hills,4,2,0
Epping,6,1,0
Essendon - Aberfeldie,6,3,1
Essendon Airport,0,0,0
Fawkner,4,1,2
Ferntree Gully,1,0,0
Fitzroy,13,4,2
Fitzroy North,6,1,1
Flemington,2,1,0
Flemington Racecourse,0,0,0
Flinders,0,1,0
Footscray,6,0,0
Forest Hill,2,1,0
Frankston,2,0,0
Frankston North,0,0,0
Frankston South,0,0,0
Gisborne,0,1,1
Gladstone Park - Westmeadows,2,0,0
Glen Waverley,0,1,1
Glenroy,4,0,0
Gowanbrae,0,1,0
Greensborough,2,1,0
Greenvale - Bulla,1,1,1
Hadfield,4,0,0
Hallam,0,0,0
Hampton Park - Lynbrook,1,0,0
Hastings - Somers,0,2,0
Hawthorn,4,0,0
Hawthorn East,0,0,0
Healesville - Yarra Glen,0,1,1
Heidelberg - Rosanna,4,1,0
Heidelberg West,2,0,0
Hillside,0,1,0
Hoppers Crossing,3,0,0
Hughesdale,2,0,0
Ivanhoe East - Eaglemont,0,0,0
Keilor,2,2,0
Keilor Downs,0,0,0
Keilor East,2,2,0
Kensington,0,0,0
Kew,2,1,0
Kew East,0,0,0
Keysborough,1,0,0
Kilsyth,0,0,0
Kinglake,0,0,0
