,suburbs,Middle_Eastern,Lebanese,Turkish,Number of Hairdressing Businesses
0,Abbotsford,0,0,0,4
1,Airport West,5,1,2,14
2,Albert Park,18,5,6,10
3,Alphington - Fairfield,1,0,0,2
4,Altona,5,0,1,9
5,Altona Meadows,6,0,1,4
6,Altona North,23,5,5,3
7,Ardeer,0,0,0,0
8,Armadale,0,0,0,4
9,Ascot Vale,10,1,5,4
10,Ashburton,0,0,0,1
11,Ashwood - Chadstone,0,0,0,1
12,Aspendale Gardens - Waterways,1,0,0,3
13,Bacchus Marsh,0,0,0,0
14,Balwyn,2,1,1,5
15,Balwyn North,22,5,5,7
16,Bayswater,0,0,0,4
17,Bayswater North,21,5,4,2
18,Beaconsfield - Officer,0,0,0,7
19,Beaumaris,0,0,0,25
20,Belgrave - Selby,1,0,0,5
21,Bentleigh - McKinnon,2,0,0,11
22,Bentleigh East,17,5,5,4
23,Berwick,1,0,0,22
24,Blackburn,1,0,1,12
25,Blackburn South,26,4,12,2
26,Boronia,1,0,0,9
27,Box Hill,5,0,1,9
28,Box Hill North,26,5,5,10
29,Braeside,1,0,1,1
30,Braybrook,1,0,1,1
31,Brighton,7,0,2,33
32,Brighton East,17,5,7,0
33,Broadmeadows,5,1,1,8
34,Brunswick,34,16,4,15
35,Brunswick East,40,16,9,6
36,Brunswick West,36,16,6,12
37,Bulleen,1,0,1,6
38,Bundoora,3,0,2,7
39,Bunyip - Garfield,0,0,0,0
40,Burnside,0,0,0,2
41,Burnside Heights,4,2,0,0
42,Burwood,6,0,3,3
43,Burwood East,19,5,8,2
44,Cairnlea,0,0,0,1
45,Camberwell,2,0,1,22
46,Campbellfield - Coolaroo,7,0,2,3
47,Carlton North - Princes Hill,9,3,1,11
48,Carnegie,1,1,0,2
49,Caroline Springs,0,0,0,16
50,Carrum Downs,1,0,1,3
51,Caulfield,7,2,1,2
52,Chelsea - Bonbeach,1,0,0,4
53,Chelsea Heights,4,2,0,4
54,Chirnside Park,17,5,6,10
55,Clayton,6,0,4,6
56,Clayton South,26,4,12,8
57,Coburg,24,4,5,4
58,Coburg North,43,9,8,1
59,Collingwood,5,1,0,2
60,Craigieburn,2,0,1,30
61,Cranbourne,1,0,1,11
62,Cranbourne East,14,5,6,6
63,Cranbourne North,22,5,5,3
64,Cranbourne South,26,4,12,0
65,Cranbourne West,5,1,3,0
66,Croydon Hills - Warranwood,6,2,2,16
67,Croydon South,26,5,11,4
68,Dandenong North,36,9,8,4
69,Deer Park - Derrimut,17,5,6,7
70,Delahey,1,0,1,2
71,Dingley Village,2,0,1,6
72,Docklands,11,3,5,17
73,Doncaster,3,1,2,12
74,Doncaster East,14,6,5,7
75,Doreen,2,0,1,1
76,Doveton,3,0,2,0
77,Dromana,0,0,0,3
78,East Melbourne,385,69,114,0
79,Edithvale - Aspendale,0,0,0,5
80,Elsternwick,8,1,3,7
81,Eltham,2,1,1,13
82,Elwood,1,0,1,18
83,Emerald - Cockatoo,0,0,0,1
84,Endeavour Hills,4,0,2,5
85,Epping,8,1,2,19
86,Essendon - Aberfeldie,6,1,2,15
87,Essendon Airport,7,2,3,0
88,Fawkner,4,2,1,0
89,Ferntree Gully,2,0,0,13
90,Fitzroy,16,3,5,9
91,Fitzroy North,30,6,8,6
92,Flemington,2,0,1,3
93,Flemington Racecourse,2,0,1,0
94,Flinders,5,3,1,0
95,Forest Hill,5,0,1,2
96,Frankston,3,0,1,28
97,Frankston North,24,5,5,1
98,Frankston South,28,4,12,6
99,Gisborne,0,0,0,6
100,Gladstone Park - Westmeadows,17,5,6,2
101,Glen Waverley,11,1,4,16
102,Glenroy,4,1,1,5
103,Gowanbrae,0,0,0,1
104,Greensborough,2,0,1,18
105,Greenvale - Bulla,1,0,1,5
106,Hadfield,4,1,1,0
107,Hallam,2,0,1,1
108,Hampton Park - Lynbrook,22,5,10,24
109,Hastings - Somers,11,1,2,2
110,Hawthorn,9,1,3,7
111,Hawthorn East,24,6,8,1
112,Heidelberg - Rosanna,5,1,1,2
113,Heidelberg West,7,2,2,0
114,Hillside,0,0,0,10
115,Hoppers Crossing,3,0,1,10
116,Hughesdale,3,1,0,1
117,Hurstbridge,0,0,0,0
118,Ivanhoe East - Eaglemont,15,5,5,7
119,Keilor,3,0,2,3
120,Keilor Downs,3,0,2,4
121,Keilor East,14,5,5,4
122,Kensington,0,0,0,2
123,Kew,2,0,1,8
124,Kew East,17,5,6,0
125,Keysborough,1,0,0,9
126,Kilsyth,0,0,0,6
127,Kinglake,0,0,0,0
128,Kings Park,19,5,7,0
129,Kingsbury,0,0,0,1
130,Knoxfield - Scoresby,0,0,0,1
131,Koo Wee Rup,0,0,0,5
132,Lalor,6,3,0,1
133,Langwarrin,0,0,0,7
134,Laverton,0,0,0,1
135,Lilydale - Coldstream,0,0,0,4
136,Lysterfield,0,0,0,1
137,Macedon,1,1,0,0
138,Malvern - Glen Iris,9,1,3,2
139,Malvern East,16,6,7,8
140,Maribyrnong,2,0,0,12
141,Meadow Heights,4,2,0,0
142,Melbourne,389,69,115,55
143,Melbourne Airport,384,69,113,0
144,Melton,1,0,0,16
145,Melton South,26,4,11,2
146,Melton West,5,1,2,4
147,Mentone,10,0,3,11
148,Mernda,2,0,1,1
149,Mickleham - Yuroke,2,0,1,0
150,Mill Park,17,5,6,20
151,Mitcham,3,0,1,8
152,Monbulk - Silvan,0,0,0,5
153,Montrose,0,0,0,3
154,Moonee Ponds,3,2,1,9
155,Moorabbin - Heatherton,2,0,1,1
156,Moorabbin Airport,4,1,2,2
157,Mooroolbark,0,0,0,4
158,Mordialloc - Parkdale,2,0,0,7
159,Mornington,0,0,0,33
160,Dandenong,35,9,10,15
161,Mount Eliza,5,1,2,18
162,Mount Evelyn,5,1,2,5
163,Mount Martha,5,1,2,6
164,Mount Waverley,5,1,2,20
165,Mulgrave,0,0,0,6
166,Murrumbeena,4,1,0,0
167,Narre Warren North,23,5,4,1
168,Narre Warren South,27,4,11,5
169,Newport,1,0,0,4
170,Noble Park,17,5,6,3
171,Noble Park North,38,10,10,1
172,North Melbourne,384,70,113,3
173,Northcote,6,0,1,15
174,Nunawading,1,0,0,0
175,Oakleigh - Huntingdale,1,1,0,6
176,Pakenham,1,0,1,0
177,Parkville,1,0,0,4
178,Pascoe Vale,10,1,5,5
179,Pascoe Vale South,35,5,16,2
180,Pearcedale - Tooradin,1,0,0,0
181,Plenty - Yarrambat,29,6,5,0
182,Point Cook,2,0,1,14
183,Point Nepean,4,0,3,0
184,Port Melbourne,384,69,113,18
185,Port Melbourne Industrial,384,69,113,0
186,Prahran - Windsor,5,1,1,10
187,Preston,11,1,2,16
188,Reservoir,7,2,2,11
189,Richmond,5,1,1,23
190,Riddells Creek,0,0,0,0
191,Ringwood,3,0,0,6
192,Ringwood East,18,5,5,5
193,Ringwood North,24,5,4,4
194,Romsey,0,0,0,0
195,Rosebud - McCrae,0,0,0,9
196,Rowville,0,0,0,6
197,Roxburgh Park - Somerton,17,5,6,8
198,Sandringham - Black Rock,1,0,0,0
199,Seabrook,0,0,0,1
200,Seaford,6,0,2,8
201,Seddon - Kingsville,1,0,0,4
202,Skye - Sandhurst,0,0,0,1
203,Somerville,0,0,0,13
204,South Melbourne,385,69,114,13
205,South Morang,25,4,11,12
206,South Yarra,25,4,11,12
207,Southbank,1,0,0,6
208,Springvale,4,0,1,8
209,Springvale South,29,4,12,0
210,St Albans,15,2,3,4
211,St Kilda,16,2,3,16
212,St Kilda East,26,8,7,4
213,Strathmore,1,0,0,1
214,Sunbury,4,0,1,0
215,Sunshine,8,0,3,4
216,Sunshine North,24,5,6,1
217,Sunshine West,9,1,5,2
218,Surrey Hills,2,0,0,0
219,Sydenham,0,0,0,4
220,Tarneit,2,0,1,6
221,Taylors Hill,6,0,1,8
222,Taylors Lakes,3,0,1,9
223,Templestowe,2,1,0,8
224,Templestowe Lower,2,1,0,3
225,The Basin,0,0,0,3
226,Thomastown,1,0,1,4
227,Thornbury,2,0,0,5
228,Toorak,4,1,1,2
229,Truganina,0,0,0,2
230,Tullamarine,3,0,2,3
231,Upwey - Tecoma,0,0,0,4
232,Vermont,2,0,0,1
233,Vermont South,27,4,11,2
234,Viewbank - Yallambie,0,0,0,3
235,Wallan,0,0,0,0
236,Wandin - Seville,0,0,0,0
237,Wantirna,8,0,1,1
238,Wantirna South,26,4,11,24
239,Watsonia,0,0,0,3
240,Werribee,3,1,2,28
241,West Footscray - Tottenham,16,1,4,3
242,West Melbourne,384,69,113,9
243,Wheelers Hill,5,0,1,8
244,Whittlesea,0,0,0,0
245,Williamstown,1,0,1,16
246,Wollert,3,1,0,2
247,Wyndham Vale,11,1,5,2
248,Yarra Valley,12,3,4,0
249,Yarraville,1,0,0,16
