,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
0,Abbotsford,Legal Services,Djirra,-37.797588,144.9938631,,
2,Abbotsford,,Ann Valos Criminal Law,-37.8099328,144.9954122,"The Hive, Shop 1A/313 Victoria St, Abbotsford VIC 3067",(03) 9244 3333
3,Abbotsford,,Kearney Group Financial Services,-37.8112877,145.0108019,"8/651 Victoria St, Abbotsford VIC 3067",(03) 9428 8822
4,Abbotsford,,DST Legal,-37.811478,145.012322,"10/661-663 Victoria St, Abbotsford VIC 3067",0437 989 751
5,Albert Park ,,Anthony Rose & Mainwaring Lawyers,-37.840338,144.956153,"122 Bridport St, Albert Park VIC 3206",(03) 9690 1320
6,Albert Park ,,Makin & Kinsey Lawyers,-37.8413902,144.9561228,"1/317 Montague St, Albert Park VIC 3206",(03) 9696 9417
7,Alphington - Fairfield,,Dellios West & Co - Dellios Paul,-37.777143,145.018638,"131 Station St, Fairfield VIC 3078",(03) 9489 7300
8,Altona,Legal Services,Altona Legal,-37.867543,144.8292861,,
9,Altona,Legal Services,Mason Worth - Law & Conveyancing,-37.8686643,144.8302724,,
10,Altona,Legal Services,House & Land Conveyancing Services,-37.869652,144.8284772,,
11,Altona,Legal Services,Peter W Johnson,-37.869933,144.811283,,
12,Altona,,Gellibrand Legal Practice Pty Ltd Altona,-37.844483,144.842816,"23 Lobelia Dr, Altona North VIC 3025",(03) 9398 2377
13,Altona,,Mason Worth - Law & Conveyancing,-37.868659,144.830143,"55 Pier St, Altona VIC 3018",(03) 9315 9332
14,Altona,,Title Exchange Conveyancing,-37.8674903,144.8293407,"Level 1/92 Railway St S, Altona VIC 3018",0423 986 853
15,Altona North,Legal Services,Medina Financial & Para-Legal Services,-37.8374331,144.863101,,
17,Armadale,Legal Services,LGM Advisors,-37.8559777,145.0263346,,
19,Armadale ,,Mitrakas Savas & Co,-37.854811,145.01673,"883 High St, Armadale VIC 3143",(03) 8508 6444
20,Armadale ,,James Hopper & Associates,-37.8109199,145.0672981,"123 Whitehorse Rd, Balwyn VIC 3103",(03) 9006 5800
21,Ascot Vale,Legal Services,Moonee Valley Legal Service,-37.77945,144.919296,,
22,Ascot Vale,Legal Services,Safe from Harm,-37.7794958,144.9194636,,
24,Ashburton,Legal Services,TP Legal,-37.860904,145.083211,,
26,Ashburton,,Brett P Morris - Solicitor,-37.861797,145.080437,"1/48 Aitchison Ave, Ashburton VIC 3147",(03) 9886 9359
27,Ashburton,,Anthony Goldsmith & Associates,-37.8632905,145.0777446,"1/164 High St, Ashburton VIC 3147",(03) 9889 0422
28,Avondale Heights,Legal Services,MMH Lawyers,-37.7689961,144.8645937,,
29,Bacchus Marsh,Legal Services,Pauline Madden Conveyancing & Legal,-37.6758896,144.4365403,,
30,Bacchus Marsh,Legal Services,P&M Lawford,-37.690576,144.479411,,
31,Bacchus Marsh,Legal Services,The Conveyancing Quarters,-37.675559,144.438146,,
32,Bacchus Marsh,Legal Services,Haines Conveyancing,-37.6752465,144.4374436,,
33,Bacchus Marsh,Legal Services,Contact Lawyers,-37.680686,144.434662,,
34,Bacchus Marsh,Legal Services,Nevett Ford Lawyers Bacchus Marsh,-37.6762779,144.4394255,,
35,Bacchus Marsh,Legal Services,Casa Conveyancing,-37.6757042,144.4354169,,
36,Balaclava,Legal Services,Guardianship & Admin Legal Services,-37.869563,144.99604,,
38,Ballarat Central,Legal Services,BJT Legal,-37.5633645,143.8572347,,
39,Balwyn,Legal Services,Primon Legal,-37.8132256,145.0826417,,
40,Balwyn,Legal Services,Grice Legal,-37.812326,145.078504,,
43,Balwyn North,Legal Services,Patten Robins Lawyers,-37.7927538,145.0706785,,
44,Balwyn North,Legal Services,GSSR Legal,-37.7924655,145.0689248,,
45,Balwyn North,Legal Services,PFJS Lawyers,-37.800471,145.0980381,,
49,Barwon Heads,Legal Services,Coulter Roache,-38.2816416,144.4919278,,
51,Bayswater,Legal Services,Ryan Carlisle Thomas Lawyers,-37.841323,145.261324,,
52,Bayswater,Legal Services,Kerr & Thomas,-37.841839,145.2637323,,
53,Beaconsfield - Officer,Legal Services,Bona Fide Lawyers,-38.046786,145.368446,,
54,Beaconsfield - Officer,,Ideal Conveyancing,-38.049,145.371,,
55,Beaconsfield Upper,Legal Services,Scott Family Law,-37.9830521,145.3970389,,
56,Beaumaris,Legal Services,MJS Law,-37.9936857,145.0393252,,
57,Belgrave - Selby,Legal Services,Armstrong Ross Lawyers,-37.9083905,145.3548159,,
58,Belgrave - Selby,Legal Services,Belgrave General Lawyers,-37.9091637,145.3536563,,
59,Belmont,Legal Services,Barwon Community Legal Service,-38.17452,144.342224,,
61,Bendigo,Legal Services,Loddon Campaspe Community Legal Centre,-36.7574332,144.2842009,,
62,Bendigo,,Reign Legal,-36.7586435,144.2771078,"47 View St, Bendigo VIC 3550",0439 460 184
63,Bendigo,,Victoria Legal Aid Legal,-36.7622686,144.276797,"424 Hargreaves St, Bendigo VIC 3550",(03) 5448 2333
64,Bendigo,,Orchard Law,-36.7579336,144.2853385,"10 Hopetoun St, Bendigo VIC 3550",(03) 5444 3663
65,Bendigo,,Arnold Dallas Mcpherson,-36.7610485,144.2793191,"337 Hargreaves St, Bendigo VIC 3550",(03) 5445 9200
66,Bentleigh - McKinnon,Legal Services,Anuja Baker Legal Services,-37.914633,145.045371,,
67,Bentleigh - McKinnon,Legal Services,Hayton Kosky Lawyers,-37.917983,145.0325689,,
70,Bentleigh - McKinnon,Legal Services,Dribbin & Brown Criminal Lawyers,-37.933011,145.036596,,
71,Bentleigh - McKinnon,Legal Services,Law To Your Door,-37.932954,145.036751,,
72,Bentleigh - McKinnon,Legal Services,Prior Law,-37.918824,145.042735,,
73,Bentleigh - McKinnon,Legal Services,Rotman & Morris,-37.932895,145.036272,,
74,Bentleigh - McKinnon,Legal Services,Probate Excellence,-37.9179825,145.0325735,,
