Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Abbotsford,0.168066537,0.836114845,0.238095238,0.068965517,0.142857143
Airport West,0.031070952,0.635082552,0.285714286,0,0.071428571
Albert Park,0.017558271,0.932058545,0.19047619,0.017241379,0.142857143
Alphington - Fairfield,0.183468529,0.8040834,0.238095238,0.051724138,0.285714286
Altona,0.052120341,0.675733881,0.142857143,0.120689655,0.285714286
Altona Meadows,0.065571414,0.616237976,0.380952381,0,0.214285714
Altona North,0.012506417,0.604020098,0.285714286,0.017241379,0.214285714
Ardeer,0.160920012,0.51688334,0.047619048,0,0.142857143
Armadale,0.184248896,0.868193042,0.285714286,0.017241379,0.214285714
Ascot Vale,0.030290584,0.787853205,0.380952381,0.068965517,0.285714286
Ashburton,0.159174453,0.923559237,0.238095238,0.051724138,0.214285714
Ashwood - Chadstone,0.375767533,0.72196442,0.142857143,0,0.428571429
Aspendale Gardens - Waterways,0.184598008,0.831175359,0.428571429,0,0.285714286
Bacchus Marsh,0.417804703,0.641556794,0.238095238,0.120689655,0.428571429
Balwyn,0.162562891,0.828569165,0.142857143,0.051724138,0.285714286
Balwyn North,0.018872574,0.873686772,0.380952381,0.051724138,0.5
Bayswater,0.248033679,0.589705198,0.333333333,0.034482759,0.357142857
Bayswater North,0.01152069,0.656905626,0.238095238,0,0.071428571
Beaconsfield - Officer,0.267419653,0.764892546,0.238095238,0.068965517,0.571428571
Beaumaris,0.276660848,0.92785709,0.428571429,0.086206897,0.285714286
Belgrave - Selby,0.205750077,0.744100604,0.238095238,0.034482759,0.285714286
Bentleigh - McKinnon,0.230167368,0.807336151,0.333333333,0.120689655,0.285714286
Bentleigh East,0.03384331,0.764265446,0.476190476,0.068965517,0.357142857
Berwick,1,0.736393344,0.571428571,0.172413793,0.928571429
Blackburn,0.439100524,0.766774954,0.285714286,0.103448276,0.357142857
Blackburn South,0.008522436,0.705981971,0.428571429,0.017241379,0.214285714
Boronia,0.45376322,0.586092171,0.238095238,0.206896552,0.357142857
Box Hill,0.081445734,0.655011902,0.238095238,0.155172414,0.285714286
