Suburb,ratio_normalised,ws_normalised,cc_normalised,lg_normalised,school_normalised
Abbotsford,0.162529293,0.836114845,0.238095238,0.068965517,0.142857143
Airport West,0.075108234,0.635082552,0.285714286,0,0.071428571
Albert Park,0.05091949,0.932058545,0.19047619,0.017241379,0.142857143
Alphington - Fairfield,0.177423839,0.8040834,0.238095238,0.051724138,0.285714286
Altona,0.251995869,0.675733881,0.142857143,0.120689655,0.285714286
Altona Meadows,0.380506017,0.616237976,0.380952381,0,0.214285714
Altona North,0.055606307,0.604020098,0.285714286,0.017241379,0.214285714
Ardeer,0.155618223,0.51688334,0.047619048,0,0.142857143
Armadale,0.178178496,0.868193042,0.285714286,0.017241379,0.214285714
Ascot Vale,0.058585217,0.787853205,0.380952381,0.068965517,0.285714286
Ashburton,0.153930174,0.923559237,0.238095238,0.051724138,0.214285714
Ashwood - Chadstone,0.363387218,0.72196442,0.142857143,0,0.428571429
Aspendale Gardens - Waterways,0.178516106,0.831175359,0.428571429,0,0.285714286
Bacchus Marsh,0.404039401,0.641556794,0.238095238,0.120689655,0.428571429
Balwyn,0.31439409,0.828569165,0.142857143,0.051724138,0.285714286
Balwyn North,0.080331255,0.873686772,0.380952381,0.051724138,0.5
Bayswater,0.239861779,0.589705198,0.333333333,0.034482759,0.357142857
Bayswater North,0.058446201,0.656905626,0.238095238,0,0.071428571
Beaconsfield - Officer,0.258609048,0.764892546,0.238095238,0.068965517,0.571428571
Beaumaris,0.267545776,0.92785709,0.428571429,0.086206897,0.285714286
Belgrave - Selby,0.198971283,0.744100604,0.238095238,0.034482759,0.285714286
Bentleigh - McKinnon,0.44514835,0.807336151,0.333333333,0.120689655,0.285714286
Bentleigh East,0.111292052,0.764265446,0.476190476,0.068965517,0.357142857
Berwick,0.967053263,0.736393344,0.571428571,0.172413793,0.928571429
Blackburn,0.424633594,0.766774954,0.285714286,0.103448276,0.357142857
Blackburn South,0.017853597,0.705981971,0.428571429,0.017241379,0.214285714
Boronia,0.438813203,0.586092171,0.238095238,0.206896552,0.357142857
Box Hill,0.393772094,0.655011902,0.238095238,0.155172414,0.285714286
Box Hill North,0.069706478,0.730990215,0.238095238,0.068965517,0.214285714
Braeside,0.001151845,0.33791954,0,0,0
Braybrook,0.36203678,0.590533686,0.285714286,0,0.428571429
Brighton,0.22536442,0.996096627,0.476190476,0.137931034,0.571428571
Brighton East,0.044941812,0.916160933,0.428571429,0.034482759,0.285714286
Broadmeadows,0.264229257,0.444409466,0.238095238,0.034482759,0.785714286
Brunswick,0.126305755,0.748309632,0.238095238,0.103448276,0.142857143
Brunswick East,0.024188744,0.750868486,0.095238095,0,0.214285714
Brunswick West,0.045478016,0.668852739,0.19047619,0,0.285714286
Bulleen,0.219347023,0.723507768,0.380952381,0.068965517,0.214285714
Bundoora,0.233705366,0.627419322,0.476190476,0.103448276,0.5
Bunyip - Garfield,0.171545458,0.668903155,0.047619048,0.017241379,0.214285714
Burnside,0.094351988,0.636649042,0.047619048,0,0
Burnside Heights,0.120586249,0.748271366,0.238095238,0,0.071428571
Burwood,0.081085912,0.631511952,0.428571429,0,0.285714286
Burwood East,0.025499464,0.658710867,0.19047619,0,0.357142857
Cairnlea,0.191782182,0.729598239,0.285714286,0,0.071428571
Camberwell,0.424991063,0.938745464,0.476190476,0.068965517,0.214285714
Campbellfield - Coolaroo,0.160086587,0.45108484,0.380952381,0.017241379,0.214285714
Carlton North - Princes Hill,0.544723359,0.682880277,0.380952381,0.086206897,0.428571429
Carnegie,0.358779839,0.710721569,0.333333333,0.086206897,0.071428571
Caroline Springs,0.39520197,0.754721952,0.380952381,0.068965517,0.642857143
Carrum - Patterson Lakes,0.229336299,0.692501114,0.142857143,0.051724138,0.142857143
Carrum Downs,0.41130794,0.576718777,0.333333333,0.051724138,0.285714286
Caulfield,0.763077412,0.847654663,0.047619048,0.017241379,0.142857143
Chelsea - Bonbeach,0.281824681,0.628312093,0.333333333,0,0.214285714
Chelsea Heights,0.105949875,0.645596261,0.095238095,0.017241379,0.071428571
Cheltenham,0.659490805,0.708658642,0,0,0
Chirnside Park,0.032668706,0.718068786,0.142857143,0,0.142857143
Clarinda,0.231361957,0.647881397,0.142857143,0,0.142857143
